Name,Markers
Train 10_mono_16000.wav,"[0.729, 1.4, 1, 2.161, 3.239, 2, 3.875, 4.593, 1, 5.250, 6.141, 2, 6.828, 7.625, 1, 8.270, 9.601, 2, 9.958, 10.774, 1, 11.214, 11.941, 2, 12.806, 13.403, 1, 14.185, 14.750, 2, 15.681, 16.011, 1, 17.280, 18.021, 2, 18.934, 19.648, 1, 20.403, 21.125, 2]"
Train 11_mono_16000.wav,"0.750, 2.278, 1, 2.500, 3.500, 2, 4.227, 4.853, 1, 5.625, 6.250, 2, 7.391, 8.125, 1, 8.825, 9.519, 2, 10.486, 11.440, 1, 11.934, 12.792, 2, 13.307, 13.875, 1, 14.583, 15.345, 2"
Train 12_mono_16000.WAV,"0.213, 1.577, 1, 1.827, 3.471, 2, 3.861, 5.417, 1, 6.045, 7.515, 2, 8.195, 9.787, 1, 10.375, 12.410, 2"
Train 13_mono_16000.wav,"0.475, 1.220, 1, 1.420, 2.333, 2, 2.900, 3.750, 1, 4.042, 4.689, 2, 5.530, 6.125, 1, 6.417, 7.108, 2, 7.875, 8.588, 1, 8.875, 9.771, 2, 10.412, 11.100, 1, 11.407, 12.208, 2, 13.030, 13.978, 1, 14.625, 15.708, 2, 16.449, 17.217, 1, 17.417, 18.212, 2, 19.040, 19.761, 1, 19.908, 20.610, 2, 21.411, 22.062, 1, 22.219, 22.812, 2, 23.687, 24.396, 1, 24.523, 25.091, 2, 26.079, 26.660, 1, 26.914, 27.669, 2, 28.270, 28.884, 1, 29.138, 29.732, 2, 30.520, 31.208, 1, 31.437, 32.023, 2, 32.791, 33.412, 1, 33.688, 34.367, 2, 35.115, 35.856, 1, 36.010, 36.813, 2, 37.313, 38.074, 1, 38.281, 38.949, 2, 39.510, 40.144, 1, 40.411, 41.159, 2, 41.640, 42.368, 1, 42.875, 43.750, 2, 44.365, 44.966, 1, 45.393, 46.281, 2, 46.842, 47.403, 1, 47.797, 48.500, 2, 49.233, 49.921, 1, 50.741, 51.404, 2, 52.082, 52.443, 1, 52.500, 53.021, 2, 53.946, 54.322, 1, 54.750, 55.304, 2, 56.172, 56.546, 1, 57.020, 57.563, 2, 58.530, 58.813, 1, 59.204, 59.865, 2, 60.600, 61.125, 1, 61.455, 62.350, 2, 62.797, 63.271, 1, 63.672, 64.375, 2, 65.095, 66.250, 1, 66.550, 67.298, 2, 68.454, 69.500, 1, 69.938, 71.225, 2, 71.826, 73.042, 1, 73.313, 74.398, 2, 75.092, 75.927, 1, 76.281, 77.390, 2, 77.971, 78.759, 1, 79.133, 79.914, 2, 80.595, 81.210, 1, 81.483, 82.385, 2, 83.188, 83.641, 1, 83.981, 84.602, 2, 85.637, 86.031, 1, 86.519, 87.153, 2, 88.102, 88.830, 1, 89.638, 90.625, 2, 91.114, 91.969, 1, 92.596, 93.563, 2, 94.326, 95.274, 1, 95.775, 96.677, 2, 98.346, 99.048, 1, 99.563, 100.577, 2, 101.205, 101.938, 1, 102.207, 103.028, 2, 103.970, 104.584, 1, 104.918, 105.739, 2, 106.474, 107.095, 1, 107.356, 108.104, 2, 108.813, 109.352, 1, 109.750, 110.361, 2, 111.176, 111.670, 1, 112.063, 112.625, 2, 113.453, 114.125, 1, 114.448, 115.016, 2, 115.543, 116.672, 1, 117.046, 117.774, 2, 118.642, 119.417, 1, 120.031, 120.679, 2"
Train 14_mono_16000.wav,"0.476, 1.341, 1, 1.826, 2.709, 2, 3.652, 4.223, 1, 4.890, 5.569, 2, 6.516, 7.016, 1, 7.735, 8.269, 2, 9.835, 10.508, 1, 11.219, 11.947, 2, 12.981, 13.507, 1, 14.181, 14.827, 2, 16.231, 16.674, 1, 17.201, 17.754, 2, 18.424, 18.639, 1, 19.928, 20.459, 2, 21.723, 22.199, 1, 22.718, 23.479, 2, 25.312, 26.042, 1, 26.777, 27.437, 2, 29.728, 30.360, 1, 31.355, 32.108, 2, 34.220, 35.033, 1, 36.063, 36.825, 2, 37.915, 38.677, 1, 39.776, 40.438, 2, 41.792, 42.355, 1, 43.500, 44.375, 2, 45.488, 46.293, 1, 47.089, 48.063, 2, 49.027, 49.789, 1, 50.563, 51.375, 2, 52.299, 53.026, 1"
Train 16(edit).WAV,"0.500, 1.922, 1, 2.453, 4.192, 2, 6.375, 7.394, 1, 8.362, 9.395, 2, 13.194, 14.219, 2, 17.375, 18.546, 2, 20.108, 20.625, 1, 21.206, 22.475, 2, 23.947, 24.273, 1, 25.125, 26.500, 2, 27.339, 27.762, 1, 28.500, 29.389, 2, 30.048, 30.772, 1, 31.375, 31.992, 2, 32.814, 33.513, 1, 34.261, 35.457, 2, 36.018, 36.625, 1, 37.198, 38.345, 2, 39.134, 39.646, 1, 40.988, 42.046, 2, 43.079, 43.974, 1, 44.909, 45.958, 2, 46.853, 47.537, 1, 48.976, 49.814, 2, 51.221, 52.051, 1, 52.588, 53.263, 2, 55.427, 56.086, 1, 56.625, 57.420, 2"
Train 17.wav,"0.061, 0.853, 1, 0.989, 1.743, 2, 2.431, 3.065, 1, 3.204, 3.757, 2, 4.602, 5.733, 1, 6.034, 7.359, 2, 7.855, 8.847, 1, 8.961, 9.555, 2, 10.010, 10.977, 1, 11.255, 12.360, 2, 12.889, 13.710, 1, 14.304, 15.310, 2, 16.307, 17.108, 1, 17.654, 18.647, 2, 19.275, 20.121, 1, 20.523, 21.516, 2, 22.616, 23.766, 1, 24.422, 25.444, 2, 26.856, 27.829, 1, 28.761, 29.816, 2, 30.994, 31.893, 1, 33.112, 34.302, 2, 35.123, 35.879, 1, 36.523, 37.519, 2, 37.900, 38.559, 1, 39.339, 40.154, 2, 40.575, 41.217, 1, 41.829, 42.713, 2, 42.973, 43.759, 1, 44.048, 45.070, 2, 45.232, 46.076, 1, 46.203, 47.341, 2, 47.589, 48.352, 1, 48.704, 49.640, 2, 50.675, 51.200, 1, 51.478, 52.252, 2, 52.824, 53.332, 1, 53.633, 54.268, 2, 54.979, 55.557, 1, 55.747, 56.400, 2, 57.169, 57.688, 1, 57.885, 58.451, 2, 59.277, 59.728, 1, 60.005, 60.525, 2, 61.507, 62.010, 1, 62.357, 62.727, 2, 63.403, 64.275, 1, 64.633, 65.581, 2, 66.257, 66.886, 1, 67.152, 67.921, 2, 68.654, 69.088, 1, 69.544, 70.133, 2, 71.012, 71.578, 1, 72.242, 72.803, 2, 74.056, 74.732, 1, 75.680, 76.535, 2, 77.563, 78.522, 1, 79.112, 80.001, 2, 81.533, 82.382, 1, 83.139, 83.994, 2, 84.987, 85.588, 1, 86.074, 86.784, 2, 87.998, 88.535, 1, 89.055, 89.823, 2, 90.858, 91.568, 1, 91.949, 92.770, 2, 93.995, 94.624, 1, 94.965, 95.780, 2, 96.872, 97.421, 1, 97.900, 98.490, 2, 99.472, 100.015, 1, 100.310, 100.968, 2, 102.147, 102.592, 1, 102.962, 103.406, 2, 104.729, 105.232, 1, 105.608, 106.041, 2, 107.560, 108.011, 1, 108.600, 109.288, 2, 110.010, 110.565, 1, 110.888, 111.639, 2, 112.408, 112.882, 1, 113.234, 113.910, 2, 114.673, 115.164, 1, 115.476, 116.042, 2"
Train 18.WAV,"0.382, 1.650, 1, 2.016, 3.814, 2, 4.423, 5.830, 1, 6.416, 7.880, 2, 8.725, 9.848, 1, 10.710, 11.995, 2, 13.027, 14.646, 1, 15.589, 16.955, 2, 17.939, 19.403, 1, 20.655, 22.220, 2, 23.453, 25.055, 1, 26.161, 27.397, 2, 28.609, 30.072, 1, 31.048, 32.350, 2, 33.415, 34.496, 1, 35.407, 36.538, 2, 37.733, 38.717, 1, 39.555, 40.620, 2, 41.563, 42.799, 1, 43.523, 44.532, 2"
Train 19.WAV,"0.263, 1.244, 1, 2.016, 3.521, 2, 4.407, 6.448, 1, 6.790, 8.685, 2, 9.189, 10.726, 1, 11.808, 13.182, 2, 14.011, 15.337, 1, 16.044, 17.248, 2, 18.297, 19.655, 1, 20.026, 21.011, 2, 21.910, 22.895, 1, 23.487, 24.492, 2, 25.481, 26.475, 1, 26.893, 27.731, 2, 28.768, 29.886, 1, 30.485, 31.265, 2, 32.283, 33.190, 1, 33.986, 35.090, 2, 36.186, 37.213, 1, 38.070, 39.019, 2, 40.004, 40.944, 1, 41.695, 42.557, 2, 43.620, 44.367, 1, 45.336, 46.169, 2, 47.138, 48.143, 1, 49.564, 50.520, 2"
Train 20.wav,"1.064, 2.426, 1, 3.021, 4.200, 2, 5.917, 7.154, 1, 8.069, 9.443, 2, 11.103, 12.556, 1, 13.312, 14.869, 2, 16.402, 17.856, 1, 18.669, 19.928, 2, 21.416, 22.469, 1, 23.200, 24.160, 2, 25.445, 26.730, 1, 27.283, 28.365, 2, 30.081, 31.300, 1, 31.666, 32.715, 2, 35.741, 37.123, 1, 37.424, 38.497, 2, 40.140, 41.425, 1, 42.019, 43.043, 2, 45.003, 46.020, 1, 46.687, 47.435, 2, 49.460, 50.411, 1, 51.168, 52.208, 2, 54.128, 55.242, 1, 55.892, 56.567, 2, 59.919, 61.756, 1, 62.438, 64.535, 2"
Train 21.WAV,"4.350, 5.838, 1, 6.289, 7.750, 2, 9.384, 10.571, 1, 11.564, 12.653, 2, 14.524, 15.589, 1, 16.809, 17.663, 2, 19.419, 20.509, 1, 21.574, 22.867, 2, 24.299, 25.543, 1, 26.267, 27.511, 2, 29.446, 30.447, 1, 31.284, 32.358, 2, 33.976, 35.098, 1, 35.796, 36.777, 2, 38.621, 39.663, 1, 40.562, 41.354, 2, 43.140, 44.141, 1, 45.217, 46.403, 2, 47.987, 49.063, 1, 49.580, 50.458, 2, 52.207, 53.211, 1, 53.910, 54.857, 2, 57.192, 58.492, 1, 59.098, 60.381, 2, 61.964, 63.067, 1, 63.790, 64.812, 2, 66.095, 67.233, 1, 68.025, 69.290, 2"
Train 22.WAV,"0.462, 1.213, 1, 1.473, 2.270, 2, 2.913, 3.726, 1, 4.041, 4.674, 2, 5.505, 6.080, 1, 6.424, 7.057, 2, 7.856, 8.480, 1, 8.888, 9.757, 2, 10.422, 11.084, 1, 11.413, 12.145, 2,13.055, 13.980, 1, 14.613, 15.680, 2, 16.444, 17.205, 1, 17.409, 18.234, 2, 19.010, 19.745, 1, 19.902, 20.629, 2, 21.375, 22.063, 1, 22.227, 22.827, 2, 23.656, 24.361, 1, 24.513, 25.143, 2, 26.026, 26.642, 1, 26.916, 27.657, 2, 28.257, 28.876, 1, 29.126, 29.771, 2, 30.517, 31.147, 1, 31.448, 32.031, 2, 32.798, 33.401, 1, 33.696, 34.376, 2, 35.128, 35.886, 1, 36.006, 36.353, 2, 37.303, 38.076, 1, 38.272, 38.963, 2, 39.485, 40.179, 1, 40.400, 41.027, 2, 41.625, 42.410, 1, 42.873, 43.853, 2, 44.279, 45.014, 1, 45.384, 46.274, 2, 46.868, 47.455, 1, 47.772, 48.461, 2, 49.228, 49.790, 1, 50.190, 50.872, 2, 51.601, 52.103, 1, 52.465, 53.036, 2, 53.905, 54.360, 1, 54.725, 55.322, 2, 56.135, 56.615, 1, 57.010, 57.581, 2, 58.251, 58.816, 1, 59.166, 59.831, 2, 60.598, 61.089, 1, 61.438, 62.393, 2, 62.838, 63.296, 1, 63.640, 64.446, 2, 65.092, 66.255, 1, 66.547, 67.441, 2, 68.457, 69.553, 1, 69.975, 71.242, 2, 71.826, 73.003, 1, 73.262, 74.384, 2, 75.108, 75.870, 1, 76.264, 77.398, 2, 77.978, 78.767, 1, 79.126, 79.906, 2, 80.623, 81.184, 1, 81.491, 82.372, 2, 83.184, 83.589, 1, 83.947, 84.638, 2, 85.645, 86.161, 1, 86.513, 87.328, 2, 88.048, 88.859, 1, 89.625, 90.594, 2, 91.103, 91.959, 1, 93.605, 93.886, 2, 94.333, 95.293, 1, 95.767, 96.682, 2, 98.297, 99.068, 1, 99.551, 100.570, 2, 101.166, 101.923, 1, 102.204, 103.024, 2, 103.915, 104.514, 1, 104.899, 105.721, 2, 106.471, 107.030, 1, 107.355, 108.077, 2, 108.845, 109.359, 1, 109.711, 110.399, 2, 111.175, 111.599, 1, 112.031, 112.698, 2, 113.438, 114.084, 1, 114.431, 115.035, 2, 115.537, 116.673, 1, 117.034, 117.890, 2, 118.588, 119.543, 1"
Train 23.wav,"0.061, 0.853, 1, 0.989, 1.743, 2, 2.431, 3.065, 1, 3.204, 3.757, 2, 4.602, 5.733, 1, 6.034, 7.359, 2, 7.855, 8.847, 1, 8.961, 9.555, 2, 10.010, 10.977, 1, 11.255, 12.360, 2, 12.889, 13.710, 1, 14.304, 15.310, 2, 16.307, 17.108, 1, 17.654, 18.647, 2, 19.275, 20.121, 1, 20.523, 21.516, 2, 22.616, 23.766, 1, 24.422, 25.444, 2, 26.856, 27.829, 1, 28.761, 29.816, 2, 30.994, 31.893, 1, 33.112, 34.302, 2, 35.123, 35.879, 1, 36.523, 37.519, 2, 37.900, 38.559, 1, 39.339, 40.154, 2, 40.575, 41.217, 1, 41.829, 42.713, 2, 42.973, 43.759, 1, 44.048, 45.070, 2, 45.232, 46.076, 1, 46.203, 47.341, 2, 47.589, 48.352, 1, 48.704, 49.640, 2, 50.675, 51.200, 1, 51.478, 52.252, 2, 52.824, 53.332, 1, 53.633, 54.268, 2, 54.979, 55.557, 1, 55.747, 56.400, 2, 57.169, 57.688, 1, 57.885, 58.451, 2, 59.277, 59.728, 1, 60.005, 60.525, 2, 61.507, 62.010, 1, 62.357, 62.727, 2, 63.403, 64.275, 1, 64.633, 65.581, 2, 66.257, 66.886, 1, 67.152, 67.921, 2, 68.654, 69.088, 1, 69.544, 70.133, 2, 71.012, 71.578, 1, 72.242, 72.803, 2, 74.056, 74.732, 1, 75.680, 76.535, 2, 77.563, 78.522, 1, 79.112, 80.001, 2, 81.533, 82.382, 1, 83.139, 83.994, 2, 84.987, 85.588, 1, 86.074, 86.784, 2, 87.998, 88.535, 1, 89.055, 89.823, 2, 90.858, 91.568, 1, 91.949, 92.770, 2, 93.995, 94.624, 1, 94.965, 95.780, 2, 96.872, 97.421, 1, 97.900, 98.490, 2, 99.472, 100.015, 1, 100.310, 100.968, 2, 102.147, 102.592, 1, 102.962, 103.406, 2, 104.729, 105.232, 1, 105.608, 106.041, 2, 107.560, 108.011, 1, 108.600, 109.288, 2, 110.010, 110.565, 1, 110.888, 111.639, 2, 112.408, 112.882, 1, 113.234, 113.910, 2, 114.673, 115.164, 1, 115.476, 116.042, 2"
Train 24.wav,"0.382, 1.650, 1, 2.016, 3.814, 2, 4.423, 5.830, 1, 6.416, 7.880, 2, 8.725, 9.848, 1, 10.710, 11.995, 2, 13.027, 14.646, 1, 15.589, 16.955, 2, 17.939, 19.403, 1, 20.655, 22.220, 2, 23.453, 25.055, 1, 26.161, 27.397, 2, 28.609, 30.072, 1, 31.048, 32.350, 2, 33.415, 34.496, 1, 35.407, 36.538, 2, 37.733, 38.717, 1, 39.555, 40.620, 2, 41.563, 42.799, 1, 43.523, 44.532, 2"
Train 25.WAV,"0.263, 1.244, 1, 2.016, 3.521, 2, 4.407, 6.448, 1, 6.790, 8.685, 2, 9.189, 10.726, 1, 11.808, 13.182, 2, 14.011, 15.337, 1, 16.044, 17.248, 2, 18.297, 19.655, 1, 20.026, 21.011, 2, 21.910, 22.895, 1, 23.487, 24.492, 2, 25.481, 26.475, 1, 26.893, 27.731, 2, 28.768, 29.886, 1, 30.485, 31.265, 2, 32.283, 33.190, 1, 33.986, 35.090, 2, 36.186, 37.213, 1, 38.070, 39.019, 2, 40.004, 40.944, 1, 41.695, 42.557, 2, 43.620, 44.367, 1, 45.336, 46.169, 2, 47.138, 48.143, 1, 49.564, 50.520, 2"
